"SampleID1","SymCounts"
"OA4",1089
"OA5",40560
"OA6",26010
"OC4_F_B",17844
"OC5_H_B",26135
"OC9_C_B",22893
"OD4_C_B",21264
"OD5_F_B",37542
"OD6_H_B",18113
"OE10",16239
"OE11",26366
"OE3",20520
"OF7_C_B",20246
"OF8_F_B",12948
"OF9_H_B",25337
"OH11",9177
"OH15",43978
"OH1",28026
"OI1_C_B",47404
"OI2_F_B",39203
"OI3_H_B",13119
"OJ13_C_B",38777
"OJ14_F_B",40860
"OJ15_H_B",32169
"OK1",4020
"OK2",6864
"OK3",6332
"OL6_C_B",31519
"OL7_F_B",33031
"OL8_H_B",15962
"OM1_C_B",37088
"OM2_F_B",15985
"OM3_H_B",49798
"ON4",10913
"ON5",16411
"ON6",4483
"OO1",7458
"OO2",5697
"OP1",13265
"OP2",8280
"OP3",25153
"OQ11",38204
"OQ1",5799
"OQ4",49375
"OR7_C_B",23315
"OR8_F_B",27428
"OR9_H_B",12362
